wavelength(eV);psi;tan(psi);delta;cos(delta)
4.092194319;4.525490335;0.079149368;7.95554961;0.990375742
4.081632627;4.489396654;0.0785155;7.529306765;0.991377968
4.071125313;4.524233545;0.079127296;7.485968217;0.991476798
4.060671957;4.516621312;0.078993607;7.445223479;0.991569195
4.050272146;4.529333986;0.079216873;7.197813826;0.992119483
4.039925469;4.531530734;0.079255455;7.792944904;0.990764544
4.02963152;4.52545326;0.079148717;7.303175679;0.991887398
4.019389896;4.567396454;0.079885393;7.296522336;0.991902153
4.0092002;4.542565188;0.079449255;7.397814402;0.991676075
3.999062038;4.536208621;0.079337613;7.425420468;0.991613922
3.98897502;4.575610313;0.080029668;7.25796502;0.991987396
3.97893876;4.60205214;0.080494138;7.152306191;0.992218687
3.968952876;4.58053588;0.080116187;7.08680645;0.992360373
3.959016988;4.547703274;0.079539498;6.827736803;0.992908073
3.949130724;4.573947695;0.080000464;7.196267966;0.992122863
3.939293712;4.620758909;0.080822757;7.313564413;0.991864333
3.929505584;4.599695547;0.080452742;7.088067353;0.992357658
3.919765978;4.587656162;0.080241258;6.795373226;0.992975066
3.910074534;4.611133898;0.080653674;7.222103396;0.992066277
3.900430894;4.601220174;0.080479524;6.657409728;0.993257101
3.890834707;4.624817243;0.080894051;6.765073035;0.993037502
3.881285623;4.639161783;0.081146054;6.716190451;0.993137641
3.871783296;4.635281774;0.08107789;6.778254754;0.993010374
3.862327383;4.665774183;0.081613604;6.690002828;0.993190992
3.852917545;4.631751533;0.081015871;6.557498024;0.993457753
3.843553446;4.643827525;0.081228024;6.853492376;0.992854531
3.834234754;4.65161985;0.081364924;6.86908095;0.992822028
3.824961139;4.658691032;0.081489158;6.791671966;0.992982708
3.815732275;4.649978861;0.081336094;6.575431619;0.993421959
3.806547838;4.680353587;0.081869763;6.348627995;0.993867464
3.797407509;4.705461249;0.082310928;6.847187597;0.992867656
3.78831097;4.66242917;0.081554834;6.305624015;0.993950179
3.779257908;4.674450664;0.081766048;6.256682716;0.994043634
3.770248012;4.700826067;0.082229481;6.674812912;0.993221842
3.761280973;4.696243639;0.082148962;6.492111166;0.993587433
3.752356487;4.701337664;0.08223847;6.346656438;0.993871268
3.743474252;4.707598926;0.08234849;6.351432237;0.993862051
3.734633967;4.717236016;0.082517832;6.623981816;0.99332457
3.725835338;4.744856105;0.083003195;6.284637659;0.993990342
3.717078069;4.713323323;0.082449078;6.305757542;0.993949923
3.70836187;4.724237705;0.082640868;5.956963314;0.994600129
3.699686453;4.722968402;0.082618563;6.446602523;0.993676925
3.691051532;4.755163062;0.083184328;6.080990193;0.994373146
3.682456824;4.736261196;0.082852154;6.137160826;0.994268814
3.673902049;4.751574038;0.083121254;6.235277149;0.99408428
3.66538693;4.758287189;0.083239231;6.306191132;0.993949092
3.656911191;4.758100308;0.083235947;6.129900089;0.994282354
3.64847456;4.741584969;0.08294571;5.782660232;0.994911247
3.640076766;4.763042595;0.083322805;6.1186752;0.994303255
