wavelength (eV);psi;tan(psi);delta;cos(delta)
1.840063671;2.346519477;0.040977403;174.7702635;-0.995837226
1.837925197;2.353337673;0.041096604;174.7827227;-0.995857023
1.835791688;2.378027042;0.04152825;174.1769619;-0.994839995
1.833663126;2.352605694;0.041083807;174.5924804;-0.995549605
1.831539494;2.35117538;0.041058801;173.9345968;-0.994401928
1.829420776;2.361972478;0.041247565;174.7499975;-0.995804924
1.827306953;2.364933359;0.04129933;174.8778339;-0.9960066
1.82519801;2.362520742;0.04125715;174.6804748;-0.995693162
1.82309393;2.336755214;0.0408067;173.74137;-0.994039929
1.820994695;2.356603431;0.041153698;174.5296806;-0.995445715
